date,property,metric,value,unit_window,source
2026-05-27,glyc,ga4_debotted_sessions,75,28d,ga4_api
2026-05-27,glyc,ga4_engaged_sessions,156,28d,ga4_api
2026-05-27,glyc,ga4_total_users,8517,28d,ga4_api
2026-05-27,glyc,ga4_sign_ups,2,28d,ga4_api
2026-05-27,glyc,gsc_clicks,0,7d,gsc_api
2026-05-27,glyc,gsc_impressions,37,7d,gsc_api
2026-05-27,glyc,gsc_avg_position,75.4,7d,gsc_api
2026-06-14,glyc,cadence_recipes_actual,11,weekly,api
2026-06-14,glyc,cadence_articles_actual,3,weekly,api
2026-06-14,ibd,cadence_articles_actual,3,weekly,api
2026-06-14,glyc,cadence_social_bsky_actual,3,weekly,api
2026-06-14,glyc,cadence_social_masto_actual,3,weekly,api
2026-06-14,glyc,cadence_social_ig_actual,3,weekly,api
2026-06-14,ibd,cadence_social_bsky_actual,4,weekly,api
2026-06-14,ibd,cadence_social_masto_actual,4,weekly,api
2026-06-14,ibd,cadence_social_ig_actual,4,weekly,api
